date,open,high,low,close,volume,average,barCount
2025-08-26 15:48:00-04:00,228.43,228.49,228.41,228.47,51851.0,228.453,253
2025-08-26 15:49:00-04:00,228.48,228.57,228.41,228.56,68234.0,228.515,358
2025-08-26 15:50:00-04:00,228.56,228.6,228.28,228.36,142957.0,228.382,850
2025-08-26 15:51:00-04:00,228.38,228.39,228.24,228.38,82528.0,228.322,448
2025-08-26 15:52:00-04:00,228.37,228.44,228.35,228.4,79358.0,228.391,480
2025-08-26 15:53:00-04:00,228.4,228.59,228.39,228.59,75681.0,228.504,455
2025-08-26 15:54:00-04:00,228.59,228.61,227.5,227.95,312962.0,228.048,1875
2025-08-26 15:55:00-04:00,227.97,229.12,227.97,228.87,375447.0,228.885,1994
2025-08-26 15:56:00-04:00,228.88,229.07,228.82,229.06,152824.0,228.946,864
2025-08-26 15:57:00-04:00,229.06,229.23,229.03,229.21,223337.0,229.139,1190
2025-08-26 15:58:00-04:00,229.21,229.25,229.12,229.25,251688.0,229.196,1262
2025-08-26 15:59:00-04:00,229.24,229.49,229.23,229.3,815724.0,229.345,3847
2025-08-27 09:30:00-04:00,228.69,228.96,228.26,228.53,606784.0,228.593,1440
2025-08-27 09:31:00-04:00,228.56,229.08,228.48,228.91,145825.0,228.743,979
2025-08-27 09:32:00-04:00,228.89,229.03,228.43,228.47,162607.0,228.727,858
2025-08-27 09:33:00-04:00,228.45,228.88,228.44,228.7,70792.0,228.716,442
2025-08-27 09:34:00-04:00,228.73,229.23,228.66,229.21,128967.0,229.048,658
2025-08-27 09:35:00-04:00,229.22,229.45,229.01,229.11,106799.0,229.266,598
2025-08-27 09:36:00-04:00,229.11,229.39,228.94,229.02,87229.0,229.155,495
2025-08-27 09:37:00-04:00,229.03,229.16,228.94,228.99,75113.0,229.051,457
2025-08-27 09:38:00-04:00,229.0,229.35,228.96,229.34,86126.0,229.131,494
2025-08-27 09:39:00-04:00,229.33,230.25,229.31,230.21,301213.0,229.824,1277
2025-08-27 09:40:00-04:00,230.2,230.24,229.67,229.75,161112.0,229.926,961
2025-08-27 09:41:00-04:00,229.76,229.79,229.53,229.55,74328.0,229.609,391
2025-08-27 09:42:00-04:00,229.56,229.58,229.13,229.33,108137.0,229.35,561
2025-08-27 09:43:00-04:00,229.32,229.71,229.24,229.57,108865.0,229.46,677
2025-08-27 09:44:00-04:00,229.56,229.56,229.21,229.22,72641.0,229.332,395
2025-08-27 09:45:00-04:00,229.2,229.24,228.75,228.8,156525.0,228.967,681
2025-08-27 09:46:00-04:00,228.8,228.94,228.76,228.94,76099.0,228.849,403
2025-08-27 09:47:00-04:00,228.92,228.99,228.75,228.89,67610.0,228.87,327
2025-08-27 09:48:00-04:00,228.89,229.19,228.87,229.0,189374.0,229.053,1132
2025-08-27 09:49:00-04:00,228.98,229.27,228.86,229.15,76780.0,229.104,516
2025-08-27 09:50:00-04:00,229.1,229.14,228.8,229.13,61660.0,228.986,402
2025-08-27 09:51:00-04:00,229.1,229.18,229.01,229.07,64563.0,229.083,346
2025-08-27 09:52:00-04:00,229.08,229.39,229.06,229.33,67935.0,229.286,382
2025-08-27 09:53:00-04:00,229.31,229.62,229.3,229.62,71825.0,229.435,366
2025-08-27 09:54:00-04:00,229.64,229.83,229.61,229.65,90721.0,229.72,426
2025-08-27 09:55:00-04:00,229.66,229.73,229.51,229.67,48109.0,229.623,257
2025-08-27 09:56:00-04:00,229.68,229.79,229.65,229.68,101534.0,229.731,512
2025-08-27 09:57:00-04:00,229.66,229.79,229.48,229.68,64208.0,229.629,375
2025-08-27 09:58:00-04:00,229.68,229.71,229.47,229.5,94402.0,229.581,522
2025-08-27 09:59:00-04:00,229.5,229.8,229.46,229.8,100885.0,229.591,650
2025-08-27 10:00:00-04:00,229.76,229.87,229.57,229.59,86866.0,229.75,514
2025-08-27 10:01:00-04:00,229.6,229.72,229.52,229.64,96504.0,229.625,618
2025-08-27 10:02:00-04:00,229.63,229.64,229.45,229.63,106103.0,229.517,468
2025-08-27 10:03:00-04:00,229.63,229.72,229.6,229.69,53106.0,229.659,374
2025-08-27 10:04:00-04:00,229.68,229.71,229.55,229.61,81533.0,229.628,319
2025-08-27 10:05:00-04:00,229.63,229.83,229.47,229.81,94770.0,229.6,541
2025-08-27 10:06:00-04:00,229.83,229.83,229.69,229.78,60247.0,229.772,329
